Nombre,Factor,Categoria,Indice-H,Cantidad-articulos-ultimo,Cantidad-articulos-ultimos-tres,Enlace,ISSN,Homologacion
Statistical Theory and Related Fields,0.231 ,Q4,2,47,57,https://www.scimagojr.com/journalsearch.php?q=21100923463&tip=sid&clean=0,2475-4269/2475-4277,C
Universitatis Iagellonicae Acta Mathematica,0.230 ,Q4,1,0,8,http://www.im.uj.edu.pl/nauka/uiam,0860-0120/2084-3828,C
Georesursy,0.229 ,Q4,4,57,135,https://www.scimagojr.com/journalsearch.php?q=21100907383&tip=sid&clean=0,1608-5043/1608-5078,C
Hematology Reports,0.229 ,Q4,10,28,82,https://www.scimagojr.com/journalsearch.php?q=19900193670&tip=sid&clean=0,2038-8322/2038-8330,C
Indian Journal of Pure and Applied Mathematics,0.229 ,Q4,35,79,138,https://www.springer.com/journal/13226,0019-5588/0975-7465,C
Mitochondrial DNA,0.229 ,Q4,31,0,1104,https://www.scimagojr.com/journalsearch.php?q=12400154743&tip=sid&clean=0,Sin informacion,No
Spectroscopy Europe,0.229 ,Q4,22,14,92,http://www3.interscience.wiley.com/journal/60500248/home,0966-0941,C
Archives of Polish Fisheries,0.228 ,Q4,16,0,69,https://www.scimagojr.com/journalsearch.php?q=19300156919&tip=sid&clean=0,1230-6428/2083-6139,C
Biologically Inspired Cognitive Architectures,0.228 ,Q4,16,0,119,https://www.scimagojr.com/journalsearch.php?q=21100218522&tip=sid&clean=0,2212-683X/2212-6848,C
Biorheology,0.228 ,Q4,65,19,36,http://www.iospress.nl/loadtop/load.php?isbn=0006355x,0006-355X/1878-5034,C
Discrete Dynamics in Nature and Society,0.228 ,Q4,35,154,751,http://www.hindawi.com/journals/ddns/,1026-0226/1607-887X,B
Numerical Analysis and Applications,0.228 ,Q4,10,31,98,http://www.springer.com/mathematics/numerical+and+computational+mathematics/journal/12258,1995-4239/1995-4247,C
Journal of RNAi and Gene Silencing,0.227 ,Q4,7,0,13,https://www.scimagojr.com/journalsearch.php?q=20000195003&tip=sid&clean=0,Sin informacion,No
Nonlinear Studies,0.227 ,Q4,12,51,152,https://www.scimagojr.com/journalsearch.php?q=21100202514&tip=sid&clean=0,1359-8678/2153-4373,C
Revista Chilena de Infectologia,0.227 ,Q4,18,105,356,https://www.scimagojr.com/journalsearch.php?q=3500148007&tip=sid&clean=0,0716-1018/0717-6341,C
Russian Journal of Physical Chemistry A,0.227 ,Q4,28,440,1333,http://www.springer.com/chemistry/physical+chemistry/journal/11504,0036-0244/1531-863X,C
Tropical Doctor,0.227 ,Q4,32,112,290,http://td.rsmjournals.com/,0049-4755/1758-1133,C
"Acta Universitatis Sapientiae, Mathematica",0.226 ,Q4,7,23,81,https://content.sciendo.com/view/journals/ausm/ausm-overview.xml,Sin informacion,No
Biophysics (Russian Federation),0.226 ,Q4,14,139,435,http://www.springer.com/physics/biophysics+&+biological+physics/journal/11439,Sin informacion,No
Journal of Conchology,0.226 ,Q4,20,0,70,https://www.scimagojr.com/journalsearch.php?q=22542&tip=sid&clean=0,0022-0019,B
Organic Preparations and Procedures International,0.226 ,Q4,47,48,116,http://www.informaworld.com/smpp/title~content=t902189982~db=all,0030-4948/1945-5453,C
Real Analysis Exchange,0.226 ,Q4,18,14,80,https://www.scimagojr.com/journalsearch.php?q=21100236804&tip=sid&clean=0,0147-1937/1930-1219,C
Russian Journal of Marine Biology,0.226 ,Q4,21,65,224,http://www.springer.com/life+sciences/ecology/journal/11179,1063-0740/1573-9457,C
Case Reports in Oncological Medicine,0.225 ,Q4,6,0,28,https://www.hindawi.com/journals/crionm/,Sin informacion,No
