Nombre,Factor,Categoria,Indice-H,Cantidad-articulos-ultimo,Cantidad-articulos-ultimos-tres,Enlace,ISSN,Homologacion
PET Clinics,0.503 ,Q2,21,54,159,http://www.elsevier.com/wps/find/journaldescription.cws_home/706803/description#description,1556-8598/1879-9809,A2
Romanian Reports in Physics,0.502 ,Q2,30,81,286,http://www.rrp.infim.ro/,Sin informacion,No
Solid State Sciences,0.500 ,Q2,84,241,553,http://www.elsevier.com/wps/find/journaldescription.cws_home/620710/description#description,1293-2558/1873-3085,A2
IEEE Journal on Multiscale and Multiphysics Computational Techniques,0.497 ,Q2,8,41,64,https://www.scimagojr.com/journalsearch.php?q=21100886154&tip=sid&clean=0,2379-8793,A2
Microelectronics Reliability,0.497 ,Q2,87,319,1372,http://www.elsevier.com/wps/find/journaldescription.cws_home/274/description#description,0026-2714,A2
Journal of Astronomical Instrumentation,0.496 ,Q2,16,31,80,https://www.worldscientific.com/worldscinet/jai,2251-1717/2251-1725,A2
Superlattices and Microstructures,0.496 ,Q2,70,376,1847,http://www.elsevier.com/wps/find/journaldescription.cws_home/622948/description#description,0749-6036/1096-3677,A2
Surface Engineering,0.495 ,Q2,41,194,387,http://maney.co.uk/index.php/journals/sur/,0267-0844/1743-2944,A1
Ionics,0.493 ,Q2,52,639,1044,http://www.springer.com/chemistry/physical+chemistry/journal/11581,0947-7047/1862-0760,A1
"Journal of Infrared, Millimeter, and Terahertz Waves",0.493 ,Q2,53,104,337,https://www.scimagojr.com/journalsearch.php?q=18500162200&tip=sid&clean=0,Sin informacion,No
Chinese Journal of Physics,0.492 ,Q2,32,285,683,https://www.journals.elsevier.com/chinese-journal-of-physics,0577-9073/2309-9097,A2
Rare Metals,0.492 ,Q2,31,226,603,http://www.elsevier.com/wps/find/journaldescription.cws_home/708738/description#description,1001-0521/1867-7185,A1
Journal of Modern Optics,0.491 ,Q2,84,246,876,https://www.tandfonline.com/loi/tmop20,0950-0340/1362-3044,A2
Thermophysics and Aeromechanics,0.491 ,Q2,19,86,286,http://www.springer.com/new+%26+forthcoming+titles+%28default%29/journal/11510,0869-8643/1531-8699,A2
Journal of Electron Spectroscopy and Related Phenomena,0.490 ,Q2,86,106,284,http://www.elsevier.com/wps/find/journaldescription.cws_home/500848/description#description,0368-2048/1873-2526,A2
Composite Interfaces,0.487 ,Q2,42,94,184,http://www.brill.nl/default.aspx?partid=212&pid=9719,0927-6440/1568-5543,A2
Applied Spectroscopy,0.486 ,Q2,107,134,605,http://www.opticsinfobase.org/as/Issue.cfm,0003-7028/1943-3530,A2
Philosophical Magazine Letters,0.485 ,Q2,60,50,181,http://www.informaworld.com/smpp/title~content=t713695410~db=all,0950-0839/1362-3036,A2
